survey_date,block,Genotype,pop.mf,parent.pop,mf,rep,germ,height.cm,long.leaf.cm,Notes
2022-11-28,NA,BH_1_7,BH_1,BH,1,7,1,1.7,1.9,NA
2022-11-28,NA,BH_1_8,BH_1,BH,1,8,1,1.7,1.6,NA
2022-11-28,NA,BH_1_10,BH_1,BH,1,10,1,1.2,1.5,NA
2022-11-28,NA,BH_2_1,BH_2,BH,2,1,1,1.4,2.7,NA
2022-11-28,NA,BH_2_2,BH_2,BH,2,2,1,1.4,1.3,NA
2022-11-28,NA,BH_2_3,BH_2,BH,2,3,1,1.1,1.7,NA
2022-11-28,NA,BH_2_4,BH_2,BH,2,4,1,1.6,1.9,NA
2022-11-28,NA,BH_2_5,BH_2,BH,2,5,1,2.4,3.2,NA
2022-11-28,NA,BH_2_6,BH_2,BH,2,6,1,2.2,2.7,NA
2022-11-28,NA,BH_2_7,BH_2,BH,2,7,1,1.8,2.4,NA
2022-11-28,NA,BH_2_8,BH_2,BH,2,8,1,2.6,2.3,NA
2022-11-28,NA,BH_2_9,BH_2,BH,2,9,1,3.5,3.4,NA
2022-11-28,NA,BH_2_10,BH_2,BH,2,10,1,2.9,2.4,NA
2022-11-28,NA,BH_2_11,BH_2,BH,2,11,1,2,3.2,NA
2022-11-28,NA,BH_2_12,BH_2,BH,2,12,1,3.4,2.5,NA
2022-11-28,NA,BH_2_13,BH_2,BH,2,13,1,1.1,1.3,NA
2022-11-28,NA,BH_2_14,BH_2,BH,2,14,1,1.3,2.1,NA
2022-11-28,NA,BH_3_1,BH_3,BH,3,1,1,1.7,2,NA
2022-11-28,NA,BH_3_2,BH_3,BH,3,2,1,2.2,2.1,NA
2022-11-28,NA,BH_3_3,BH_3,BH,3,3,1,2,2.2,NA
2022-11-28,NA,BH_3_4,BH_3,BH,3,4,1,2.5,3,NA
2022-11-28,NA,BH_3_5,BH_3,BH,3,5,1,1.7,1.8,NA
2022-11-28,NA,BH_3_6,BH_3,BH,3,6,1,3,3.1,NA
2022-11-28,NA,BH_3_7,BH_3,BH,3,7,1,1.2,1.5,NA
2022-11-28,NA,BH_3_8,BH_3,BH,3,8,1,3.3,2.1,NA
2022-11-28,NA,BH_3_9,BH_3,BH,3,9,1,1.9,1.9,NA
2022-11-28,NA,BH_3_10,BH_3,BH,3,10,1,1.5,1.6,NA
2022-11-28,NA,BH_3_11,BH_3,BH,3,11,1,2.9,2.6,NA
2022-11-28,NA,BH_3_12,BH_3,BH,3,12,1,2.3,3.3,NA
2022-11-28,NA,BH_3_13,BH_3,BH,3,13,1,1.9,2.3,NA
2022-11-28,NA,BH_3_14,BH_3,BH,3,14,1,0.9,0.8,NA
2022-11-28,NA,BH_4_1,BH_4,BH,4,1,1,1.8,1.6,NA
2022-11-28,NA,BH_4_2,BH_4,BH,4,2,1,2.5,2.5,NA
2022-11-28,NA,BH_4_3,BH_4,BH,4,3,1,2.4,2.3,NA
2022-11-28,NA,BH_4_4,BH_4,BH,4,4,1,2.4,2.4,NA
2022-11-28,NA,BH_4_5,BH_4,BH,4,5,1,3.3,2.2,NA
2022-11-28,NA,BH_4_6,BH_4,BH,4,6,1,2.8,2,NA
2022-11-28,NA,BH_4_7,BH_4,BH,4,7,1,2.2,3.1,NA
2022-11-28,NA,BH_4_8,BH_4,BH,4,8,1,2.6,2.1,NA
2022-11-28,NA,BH_4_9,BH_4,BH,4,9,1,2.8,3.2,NA
2022-11-28,NA,BH_4_10,BH_4,BH,4,10,1,2.8,2.3,leaf damaged in transport
2022-11-28,NA,BH_4_11,BH_4,BH,4,11,1,2.7,3.4,NA
2022-11-28,NA,BH_4_12,BH_4,BH,4,12,1,2.5,3,NA
2022-11-28,NA,BH_4_13,BH_4,BH,4,13,1,2.3,2.4,NA
2022-11-28,NA,BH_4_14,BH_4,BH,4,14,1,2.4,2.7,NA
2022-11-28,NA,BH_5_1,BH_5,BH,5,1,1,2.2,2.7,NA
2022-11-28,NA,BH_5_2,BH_5,BH,5,2,1,1.7,1.7,NA
2022-11-28,NA,BH_5_3,BH_5,BH,5,3,1,3.5,3.4,NA
2022-11-28,NA,BH_5_4,BH_5,BH,5,4,1,2.2,1.7,NA
2022-11-28,NA,BH_5_5,BH_5,BH,5,5,1,2.3,2.6,NA
2022-11-28,NA,BH_5_6,BH_5,BH,5,6,1,3.7,3.2,NA
2022-11-28,NA,BH_5_7,BH_5,BH,5,7,1,2.4,2.8,NA
2022-11-28,NA,BH_5_8,BH_5,BH,5,8,1,1.8,2.8,NA
2022-11-28,NA,BH_5_9,BH_5,BH,5,9,1,0.9,1.8,NA
2022-11-28,NA,BH_5_10,BH_5,BH,5,10,1,2.3,2.7,NA
2022-11-28,NA,BH_5_11,BH_5,BH,5,11,1,3.5,3.7,NA
2022-11-28,NA,BH_5_12,BH_5,BH,5,12,1,2.9,2.6,NA
2022-11-28,NA,BH_5_13,BH_5,BH,5,13,1,3.3,2.8,NA
2022-11-28,NA,BH_5_14,BH_5,BH,5,14,1,2.2,2.6,NA
2022-11-28,NA,BH_5_15,BH_5,BH,5,15,1,1.6,2.3,NA
2022-11-28,NA,BH_5_16,BH_5,BH,5,16,1,2.1,3.2,NA
2022-11-28,NA,BH_5_17,BH_5,BH,5,17,1,1.1,1.8,NA
2022-11-28,NA,BH_5_18,BH_5,BH,5,18,1,2.5,3.7,NA
2022-11-28,NA,BH_5_19,BH_5,BH,5,19,1,2.3,2.3,NA
2022-11-28,NA,BH_5_20,BH_5,BH,5,20,1,2.1,2.7,NA
2022-11-28,NA,BH_5_21,BH_5,BH,5,21,1,2.6,2.8,NA
2022-11-28,NA,BH_5_22,BH_5,BH,5,22,1,2.3,2.8,NA
2022-11-28,NA,BH_5_23,BH_5,BH,5,23,1,1.9,2.8,NA
2022-11-28,NA,BH_5_24,BH_5,BH,5,24,1,2.5,3.8,NA
2022-11-28,NA,BH_5_25,BH_5,BH,5,25,1,1.7,3,NA
2022-11-28,NA,BH_5_26,BH_5,BH,5,26,1,1.7,2.5,NA
2022-11-28,NA,BH_5_27,BH_5,BH,5,27,1,1.4,2.1,NA
2022-11-28,NA,BH_5_28,BH_5,BH,5,28,1,1.7,2.9,NA
2022-11-28,NA,BH_5_29,BH_5,BH,5,29,1,1.8,3.1,NA
2022-11-28,NA,BH_5_30,BH_5,BH,5,30,1,2.8,3.4,NA
2022-11-28,NA,BH_5_31,BH_5,BH,5,31,1,2,3.4,NA
2022-11-28,NA,BH_6_2,BH_6,BH,6,2,1,2.5,3.3,NA
2022-11-28,NA,BH_6_3,BH_6,BH,6,3,1,1.4,2.3,NA
2022-11-28,NA,BH_6_4,BH_6,BH,6,4,1,3.4,2.7,NA
2022-11-28,NA,BH_6_5,BH_6,BH,6,5,1,2.8,2.9,NA
2022-11-28,NA,BH_6_6,BH_6,BH,6,6,1,3.2,2.4,NA
2022-11-28,NA,BH_6_7,BH_6,BH,6,7,1,1.3,1.9,NA
2022-11-28,NA,BH_6_8,BH_6,BH,6,8,1,1.5,1.9,NA
2022-11-28,NA,BH_6_9,BH_6,BH,6,9,1,1.4,1.8,NA
2022-11-28,NA,BH_6_10,BH_6,BH,6,10,1,2.2,2.6,NA
2022-11-28,NA,BH_6_11,BH_6,BH,6,11,1,2.3,2.6,NA
2022-11-28,NA,BH_6_12,BH_6,BH,6,12,1,1.7,2.1,NA
2022-11-28,NA,BH_6_13,BH_6,BH,6,13,1,1.9,1.9,NA
2022-11-28,NA,BH_7_1,BH_7,BH,7,1,1,0.6,0.6,NA
2022-11-28,NA,BH_7_2,BH_7,BH,7,2,1,1.8,2.5,NA
2022-11-28,NA,BH_7_3,BH_7,BH,7,3,1,1.1,1.6,NA
2022-11-28,NA,BH_7_4,BH_7,BH,7,4,1,2.1,2.4,NA
2022-11-28,NA,BH_7_5,BH_7,BH,7,5,1,2.8,3.3,NA
2022-11-28,NA,BH_7_6,BH_7,BH,7,6,1,2.7,2.8,NA
2022-11-28,NA,BH_7_7,BH_7,BH,7,7,1,1.4,2.9,NA
2022-11-28,NA,BH_7_8,BH_7,BH,7,8,1,1.6,2.5,NA
2022-11-28,NA,BH_7_9,BH_7,BH,7,9,1,2.5,2.7,NA
2022-11-28,NA,BH_7_10,BH_7,BH,7,10,1,2,2.8,NA
2022-11-28,NA,BH_7_11,BH_7,BH,7,11,1,2,2.4,NA
2022-11-28,NA,BH_7_12,BH_7,BH,7,12,1,2.4,2.5,NA
2022-11-28,NA,BH_7_13,BH_7,BH,7,13,1,1.7,3.6,NA
2022-11-28,NA,BH_7_14,BH_7,BH,7,14,1,1.9,2.3,NA
2022-11-28,NA,BH_7_15,BH_7,BH,7,15,1,1,2.3,NA
2022-11-28,NA,BH_7_16,BH_7,BH,7,16,1,1.8,2.5,NA
2022-11-28,NA,BH_7_17,BH_7,BH,7,17,1,1.6,2.3,NA
2022-11-28,NA,BH_7_18,BH_7,BH,7,18,1,1.5,2.5,NA
2022-11-28,NA,BH_7_19,BH_7,BH,7,19,1,1.9,2,NA
2022-11-28,NA,BH_7_20,BH_7,BH,7,20,1,1.9,1.9,NA
2022-11-28,NA,BH_7_21,BH_7,BH,7,21,1,2.3,3.4,NA
2022-11-28,NA,BH_7_22,BH_7,BH,7,22,1,1.7,2.6,NA
2022-11-28,NA,BH_7_23,BH_7,BH,7,23,1,1.6,3.8,NA
2022-11-28,NA,CC_1_1,CC_1,CC,1,1,1,2.5,1.8,NA
2022-11-28,NA,CC_1_6,CC_1,CC,1,6,1,2.6,1.8,NA
2022-11-28,NA,CC_1_9,CC_1,CC,1,9,1,4.7,2.5,NA
2022-11-28,NA,CC_1_11,CC_1,CC,1,11,1,2.7,2,NA
2022-11-28,NA,CC_2_1,CC_2,CC,2,1,1,3.1,2,NA
2022-11-28,NA,CC_2_2,CC_2,CC,2,2,1,2.6,2.3,NA
2022-11-28,NA,CC_2_3,CC_2,CC,2,3,1,3.1,2.4,NA
2022-11-28,NA,CC_2_4,CC_2,CC,2,4,1,3.4,2.4,NA
2022-11-28,NA,CC_2_5,CC_2,CC,2,5,1,6.2,2.6,NA
2022-11-28,NA,CC_2_6,CC_2,CC,2,6,1,3.1,1.8,NA
2022-11-28,NA,CC_2_7,CC_2,CC,2,7,1,1.6,1.5,NA
2022-11-28,NA,CC_2_13,CC_2,CC,2,13,1,2.4,2,NA
2022-11-28,NA,CC_3_2,CC_3,CC,3,2,1,5.2,2.8,NA
2022-11-28,NA,CC_3_3,CC_3,CC,3,3,1,3.4,2.4,NA
2022-11-28,NA,CC_3_5,CC_3,CC,3,5,1,3.8,2.9,NA
2022-11-28,NA,CC_3_8,CC_3,CC,3,8,1,2.4,2,NA
2022-11-28,NA,CC_3_9,CC_3,CC,3,9,1,3.5,2,NA
2022-11-28,NA,CC_3_10,CC_3,CC,3,10,1,2.4,1.5,NA
2022-11-28,NA,CC_3_12,CC_3,CC,3,12,1,4.5,2.5,NA
2022-11-28,NA,CC_3_13,CC_3,CC,3,13,1,2.9,2.8,NA
2022-11-28,NA,CC_4_4,CC_4,CC,4,4,1,2.4,2.7,NA
2022-11-28,NA,CC_4_5,CC_4,CC,4,5,1,3,1.7,NA
2022-11-28,NA,CC_4_6,CC_4,CC,4,6,1,2.3,1.6,NA
2022-11-28,NA,CC_4_7,CC_4,CC,4,7,1,2.2,2,NA
2022-11-28,NA,CC_4_8,CC_4,CC,4,8,1,3.2,2.5,NA
2022-11-28,NA,CC_4_9,CC_4,CC,4,9,1,1.6,1.2,NA
2022-11-28,NA,CC_4_10,CC_4,CC,4,10,1,3.4,2.2,NA
2022-11-28,NA,CC_4_13,CC_4,CC,4,13,1,1.9,1.3,NA
2022-11-28,NA,CC_5_3,CC_5,CC,5,3,1,3,2,NA
2022-11-28,NA,CC_5_5,CC_5,CC,5,5,1,3.6,2.2,NA
2022-11-28,NA,CC_5_6,CC_5,CC,5,6,1,4.3,2.6,NA
2022-11-28,NA,CC_5_7,CC_5,CC,5,7,1,2.9,1.5,NA
2022-11-28,NA,CC_5_11,CC_5,CC,5,11,1,6.5,3.4,NA
2022-11-28,NA,CC_5_12,CC_5,CC,5,12,1,3.3,2.1,NA
2022-11-28,NA,CC_6_3,CC_6,CC,6,3,1,3.5,2,NA
2022-11-28,NA,CC_6_4,CC_6,CC,6,4,1,3.8,2.8,NA
2022-11-28,NA,CC_6_5,CC_6,CC,6,5,1,5.1,2.5,NA
2022-11-28,NA,CC_6_6,CC_6,CC,6,6,1,2.6,1.7,NA
2022-11-28,NA,CC_6_10,CC_6,CC,6,10,1,5.1,2.7,NA
2022-11-28,NA,CC_7_1,CC_7,CC,7,1,1,3.8,2,NA
2022-11-28,NA,CC_7_2,CC_7,CC,7,2,1,4.6,2.3,NA
2022-11-28,NA,CC_7_3,CC_7,CC,7,3,1,2.6,1.7,NA
2022-11-28,NA,CC_7_4,CC_7,CC,7,4,1,1.5,1,NA
2022-11-28,NA,CC_7_8,CC_7,CC,7,8,1,4.1,2.6,NA
2022-11-28,NA,CP2_1_1,CP2_1,CP2,1,1,1,0.8,1.5,NA
2022-11-28,NA,CP2_1_4,CP2_1,CP2,1,4,1,1.8,1.8,NA
2022-11-28,NA,CP2_1_6,CP2_1,CP2,1,6,1,1.4,1.5,NA
2022-11-28,NA,CP2_2_1,CP2_2,CP2,2,1,1,1.6,2,NA
2022-11-28,NA,CP2_2_2,CP2_2,CP2,2,2,1,0.7,0.8,NA
2022-11-28,NA,CP2_2_11,CP2_2,CP2,2,11,1,1.6,2,NA
2022-11-28,NA,CP2_3_2,CP2_3,CP2,3,2,1,1.3,1.7,NA
2022-11-28,NA,CP2_3_3,CP2_3,CP2,3,3,1,1.8,3.5,NA
2022-11-28,NA,CP2_3_4,CP2_3,CP2,3,4,1,0.8,1,NA
2022-11-28,NA,CP2_3_5,CP2_3,CP2,3,5,1,2.4,1.9,NA
2022-11-28,NA,CP2_3_6,CP2_3,CP2,3,6,1,2.1,2.9,NA
2022-11-28,NA,CP2_3_8,CP2_3,CP2,3,8,1,1.8,2.4,NA
2022-11-28,NA,CP2_3_10,CP2_3,CP2,3,10,1,1.8,1.7,NA
2022-11-28,NA,CP2_3_12,CP2_3,CP2,3,12,1,1.1,1.6,NA
2022-11-28,NA,CP2_4_4,CP2_4,CP2,4,4,1,1,2.6,NA
2022-11-28,NA,CP2_4_6,CP2_4,CP2,4,6,1,1.2,2.6,NA
2022-11-28,NA,CP2_5_1,CP2_5,CP2,5,1,1,0.4,0.8,sad
2022-11-28,NA,CP2_5_2,CP2_5,CP2,5,2,1,1.3,2.1,NA
2022-11-28,NA,CP2_5_8,CP2_5,CP2,5,8,1,1.4,1.9,NA
2022-11-28,NA,CP2_5_10,CP2_5,CP2,5,10,1,1.3,2.2,NA
2022-11-28,NA,CP2_5_13,CP2_5,CP2,5,13,1,1.5,2.2,NA
2022-11-28,NA,CP2_6_4,CP2_6,CP2,6,4,1,1.8,1.8,NA
2022-11-28,NA,CP2_6_10,CP2_6,CP2,6,10,1,1.3,2,NA
2022-11-28,NA,CP2_7_6,CP2_7,CP2,7,6,1,1.2,1.2,NA
2022-11-28,NA,CP2_7_7,CP2_7,CP2,7,7,1,1.4,2,NA
2022-11-28,NA,CP2_7_12,CP2_7,CP2,7,12,1,1.8,2.1,NA
2022-11-28,NA,CP2_8_1,CP2_8,CP2,8,1,1,0.6,1.1,NA
2022-11-28,NA,CP2_8_2,CP2_8,CP2,8,2,1,1.6,1.5,NA
2022-11-28,NA,CP2_8_3,CP2_8,CP2,8,3,1,1.3,1.4,NA
2022-11-28,NA,CP2_8_4,CP2_8,CP2,8,4,1,1.1,0.9,NA
2022-11-28,NA,CP2_9_1,CP2_9,CP2,9,1,1,1.2,2.1,NA
2022-11-28,NA,CP2_9_2,CP2_9,CP2,9,2,1,0.8,1.4,NA
2022-11-28,NA,CP2_9_3,CP2_9,CP2,9,3,1,2.7,2.6,NA
2022-11-28,NA,CP2_9_4,CP2_9,CP2,9,4,1,1.6,2.2,NA
2022-11-28,NA,CP2_10_1,CP2_10,CP2,10,1,1,0.8,1.1,NA
2022-11-28,NA,CP2_10_2,CP2_10,CP2,10,2,1,1.7,1.7,NA
2022-11-28,NA,CP2_10_3,CP2_10,CP2,10,3,1,2,2.7,NA
2022-11-28,NA,CP2_10_4,CP2_10,CP2,10,4,1,0.8,0.7,NA
2022-11-28,NA,CP3_2_3,CP3_2,CP3,2,3,1,1.6,1.7,NA
2022-11-28,NA,CP3_2_7,CP3_2,CP3,2,7,1,1.8,2.1,NA
2022-11-28,NA,CP3_5_9,CP3_5,CP3,5,9,1,0.7,1.9,NA
2022-11-28,NA,CP3_6_13,CP3_6,CP3,6,13,1,1.3,2.1,NA
2022-11-28,NA,CP3_7_1,CP3_7,CP3,7,1,1,0.2,0.2,v. sick
2022-11-28,NA,CP3_9_1,CP3_9,CP3,9,1,1,NA,NA,Dead
2022-11-28,NA,CP3_9_2,CP3_9,CP3,9,2,1,1.3,2.1,NA
2022-11-28,NA,CP3_12_1,CP3_12,CP3,12,1,1,2.5,3.1,NA
2022-11-28,NA,DPR_2_2,DPR_2,DPR,2,2,1,2.1,2.5,NA
2022-11-28,NA,DPR_2_4,DPR_2,DPR,2,4,1,3.3,3.1,NA
2022-11-28,NA,DPR_2_5,DPR_2,DPR,2,5,1,4.6,3.2,NA
2022-11-28,NA,DPR_2_6,DPR_2,DPR,2,6,1,5.11,3,NA
2022-11-28,NA,DPR_2_7,DPR_2,DPR,2,7,1,5.2,3,NA
2022-11-28,NA,DPR_2_10,DPR_2,DPR,2,10,1,5.9,3,NA
2022-11-28,NA,DPR_2_11,DPR_2,DPR,2,11,1,4.4,3.2,NA
2022-11-28,NA,DPR_2_12,DPR_2,DPR,2,12,1,6.6,4.2,NA
2022-11-28,NA,DPR_3_7,DPR_3,DPR,3,7,1,2.3,2.2,NA
2022-11-28,NA,DPR_4_8,DPR_4,DPR,4,8,1,2.2,2.4,NA
2022-11-28,NA,DPR_4_9,DPR_4,DPR,4,9,1,3.7,2.4,NA
2022-11-28,NA,DPR_4_11,DPR_4,DPR,4,11,1,2.9,3.5,NA
2022-11-28,NA,DPR_4_13,DPR_4,DPR,4,13,1,1.5,1.2,NA
2022-11-28,NA,DPR_5_2,DPR_5,DPR,5,2,1,4,2.5,NA
2022-11-28,NA,DPR_6_2,DPR_6,DPR,6,2,1,2.3,1.1,NA
2022-11-28,NA,DPR_6_3,DPR_6,DPR,6,3,1,2.7,2.1,NA
2022-11-28,NA,DPR_6_4,DPR_6,DPR,6,4,1,2.4,3.1,NA
2022-11-28,NA,DPR_6_9,DPR_6,DPR,6,9,1,3.4,2.6,NA
2022-11-28,NA,DPR_6_10,DPR_6,DPR,6,10,1,1.5,1.9,NA
2022-11-28,NA,DPR_6_11,DPR_6,DPR,6,11,1,2,2.3,NA
2022-11-28,NA,DPR_6_13,DPR_6,DPR,6,13,1,2.5,2.7,NA
2022-11-28,NA,DPR_7_4,DPR_7,DPR,7,4,1,2.1,2.1,NA
2022-11-28,NA,FR_1_1,FR_1,FR,1,1,1,3.6,2.1,NA
2022-11-28,NA,FR_1_6,FR_1,FR,1,6,1,2.9,2.2,NA
2022-11-28,NA,FR_1_9,FR_1,FR,1,9,1,4.9,2.7,NA
2022-11-28,NA,FR_1_10,FR_1,FR,1,10,1,4,2.1,NA
2022-11-28,NA,FR_1_11,FR_1,FR,1,11,1,2.7,2.6,NA
2022-11-28,NA,FR_1_12,FR_1,FR,1,12,1,5.5,3.2,NA
2022-11-28,NA,FR_1_13,FR_1,FR,1,13,1,3.1,2,NA
2022-11-28,NA,FR_2_1,FR_2,FR,2,1,1,2.6,1.9,NA
2022-11-28,NA,FR_2_2,FR_2,FR,2,2,1,1.7,1.6,NA
2022-11-28,NA,FR_2_4,FR_2,FR,2,4,1,1.6,1.5,NA
2022-11-28,NA,FR_2_8,FR_2,FR,2,8,1,4.2,2.1,NA
2022-11-28,NA,FR_2_9,FR_2,FR,2,9,1,2.9,2.2,NA
2022-11-28,NA,FR_2_10,FR_2,FR,2,10,1,2.6,2.9,NA
2022-11-28,NA,FR_2_11,FR_2,FR,2,11,1,3.3,2.5,NA
2022-11-28,NA,FR_2_12,FR_2,FR,2,12,1,5.4,2.1,NA
2022-11-28,NA,FR_3_5,FR_3,FR,3,5,1,3.6,2.2,NA
2022-11-28,NA,FR_3_6,FR_3,FR,3,6,1,4.1,2.6,NA
2022-11-28,NA,FR_3_13,FR_3,FR,3,13,1,2.3,2.7,NA
2022-11-28,NA,FR_4_2,FR_4,FR,4,2,1,2.2,2.1,NA
2022-11-28,NA,FR_4_7,FR_4,FR,4,7,1,NA,NA,dead
2022-11-28,NA,FR_4_13,FR_4,FR,4,13,1,2.5,2.5,NA
2022-11-28,NA,FR_5_3,FR_5,FR,5,3,1,1.8,1.5,NA
2022-11-28,NA,FR_5_9,FR_5,FR,5,9,1,2.4,1.8,NA
2022-11-28,NA,FR_5_10,FR_5,FR,5,10,1,2.1,1.8,NA
2022-11-28,NA,FR_5_13,FR_5,FR,5,13,1,1.6,1.6,NA
2022-11-28,NA,FR_6_2,FR_6,FR,6,2,1,1.4,1.1,NA
2022-11-28,NA,FR_6_3,FR_6,FR,6,3,1,2,1.4,NA
2022-11-28,NA,FR_6_4,FR_6,FR,6,4,1,3.1,1.9,NA
2022-11-28,NA,FR_6_5,FR_6,FR,6,5,1,2.5,2.1,NA
2022-11-28,NA,FR_6_6,FR_6,FR,6,6,1,2.4,2.2,NA
2022-11-28,NA,FR_6_7,FR_6,FR,6,7,1,3.3,2.4,NA
2022-11-28,NA,FR_6_10,FR_6,FR,6,10,1,1.4,1.8,NA
2022-11-28,NA,FR_6_12,FR_6,FR,6,12,1,4.6,2.3,NA
2022-11-28,NA,FR_7_9,FR_7,FR,7,9,1,2.6,2.6,NA
2022-11-28,NA,FR_7_10,FR_7,FR,7,10,1,2.3,2.1,NA
2022-11-28,NA,FR_7_11,FR_7,FR,7,11,1,3.8,2.6,NA
2022-11-28,NA,FR_8_1,FR_8,FR,8,1,1,1.7,1.5,NA
2022-11-28,NA,FR_8_2,FR_8,FR,8,2,1,NA,NA,dead
2022-11-28,NA,IH_1_6,IH_1,IH,1,6,1,1.8,2.4,NA
2022-11-28,NA,IH_1_7,IH_1,IH,1,7,1,1.4,2.1,NA
2022-11-28,NA,IH_1_9,IH_1,IH,1,9,1,2.6,3.6,NA
2022-11-28,NA,IH_1_10,IH_1,IH,1,10,1,1.4,2.6,NA
2022-11-28,NA,IH_1_11,IH_1,IH,1,11,1,1.2,0.5,NA
2022-11-28,NA,IH_1_12,IH_1,IH,1,12,1,1.8,2.5,NA
2022-11-28,NA,IH_2_9,IH_2,IH,2,9,1,2.4,3.3,NA
2022-11-28,NA,IH_2_13,IH_2,IH,2,13,1,2.1,3,NA
2022-11-28,NA,IH_4_1,IH_4,IH,4,1,1,2.3,3,NA
2022-11-28,NA,IH_4_2,IH_4,IH,4,2,1,2.8,3.6,NA
2022-11-28,NA,IH_4_3,IH_4,IH,4,3,1,2.4,2.3,NA
2022-11-28,NA,IH_4_4,IH_4,IH,4,4,1,2.1,2.9,NA
2022-11-28,NA,IH_4_5,IH_4,IH,4,5,1,2.2,2.1,NA
2022-11-28,NA,IH_4_6,IH_4,IH,4,6,1,2.3,2.7,NA
2022-11-28,NA,IH_4_7,IH_4,IH,4,7,1,2.8,3.4,NA
2022-11-28,NA,IH_4_8,IH_4,IH,4,8,1,2.2,2.3,NA
2022-11-28,NA,IH_4_9,IH_4,IH,4,9,1,1.2,1.4,NA
2022-11-28,NA,IH_4_10,IH_4,IH,4,10,1,2.9,2.9,NA
2022-11-28,NA,IH_4_11,IH_4,IH,4,11,1,2.1,3.4,NA
2022-11-28,NA,IH_4_12,IH_4,IH,4,12,1,2.7,2.6,NA
2022-11-28,NA,IH_4_13,IH_4,IH,4,13,1,2.4,2.2,NA
2022-11-28,NA,IH_4_14,IH_4,IH,4,14,1,1.8,1.5,NA
2022-11-28,NA,IH_4_15,IH_4,IH,4,15,1,1.7,2.3,NA
2022-11-28,NA,IH_4_16,IH_4,IH,4,16,1,1.5,1.8,NA
2022-11-28,NA,IH_4_17,IH_4,IH,4,17,1,1.1,1.2,NA
2022-11-28,NA,IH_4_18,IH_4,IH,4,18,1,1.3,1.5,NA
2022-11-28,NA,IH_4_19,IH_4,IH,4,19,1,1.7,1.9,NA
2022-11-28,NA,IH_4_20,IH_4,IH,4,20,1,1.9,2.2,NA
2022-11-28,NA,IH_4_21,IH_4,IH,4,21,1,1.4,2,NA
2022-11-28,NA,IH_4_22,IH_4,IH,4,22,1,0.6,1.2,NA
2022-11-28,NA,IH_5_10,IH_5,IH,5,10,1,3.2,2.7,NA
2022-11-28,NA,IH_5_11,IH_5,IH,5,11,1,2.2,2.9,NA
2022-11-28,NA,IH_6_6,IH_6,IH,6,6,1,1.8,1.9,NA
2022-11-28,NA,IH_6_12,IH_6,IH,6,12,1,2.7,3.2,NA
2022-11-28,NA,IH_6_13,IH_6,IH,6,13,1,2.3,2.7,NA
2022-11-28,NA,IH_7_1,IH_7,IH,7,1,1,1.5,1.8,NA
2022-11-28,NA,IH_7_2,IH_7,IH,7,2,1,1.3,1.6,NA
2022-11-28,NA,IH_7_3,IH_7,IH,7,3,1,1.7,3.1,NA
2022-11-28,NA,IH_7_4,IH_7,IH,7,4,1,2.1,1.9,NA
2022-11-28,NA,IH_7_5,IH_7,IH,7,5,1,3.4,3.3,NA
2022-11-28,NA,IH_7_6,IH_7,IH,7,6,1,1.7,2.6,NA
2022-11-28,NA,IH_7_7,IH_7,IH,7,7,1,1.8,2.2,NA
2022-11-28,NA,IH_7_8,IH_7,IH,7,8,1,1.6,2.7,NA
2022-11-28,NA,IH_7_9,IH_7,IH,7,9,1,1.5,1.7,NA
2022-11-28,NA,IH_7_10,IH_7,IH,7,10,1,1.3,2.3,NA
2022-11-28,NA,IH_7_11,IH_7,IH,7,11,1,2.1,2.5,NA
2022-11-28,NA,IH_7_12,IH_7,IH,7,12,1,2.7,3.6,NA
2022-11-28,NA,IH_7_13,IH_7,IH,7,13,1,1.3,2.5,NA
2022-11-28,NA,IH_7_14,IH_7,IH,7,14,1,2.7,2,NA
2022-11-28,NA,LV1_4_5,LV1_4,LV1,4,5,1,0.9,1.2,NA
2022-11-28,NA,LV1_6_6,LV1_6,LV1,6,6,1,1.8,2.2,NA
2022-11-28,NA,LV1_7_2,LV1_7,LV1,7,2,1,1.5,0.9,NA
2022-11-28,NA,LV3_1_1,LV3_1,LV3,1,1,1,1.6,1.2,NA
2022-11-28,NA,LV3_1_2,LV3_1,LV3,1,2,1,1.7,1.2,NA
2022-11-28,NA,LV3_1_3,LV3_1,LV3,1,3,1,1.2,1.7,NA
2022-11-28,NA,LV3_1_4,LV3_1,LV3,1,4,1,1.1,1.5,NA
2022-11-28,NA,LV3_1_5,LV3_1,LV3,1,5,1,1.8,1.5,NA
2022-11-28,NA,LV3_1_6,LV3_1,LV3,1,6,1,2,1.6,NA
2022-11-28,NA,LV3_1_7,LV3_1,LV3,1,7,1,1.6,2,NA
2022-11-28,NA,LV3_1_8,LV3_1,LV3,1,8,1,1.5,1.8,NA
2022-11-28,NA,LV3_1_9,LV3_1,LV3,1,9,1,0.9,0.9,NA
2022-11-28,NA,LV3_1_10,LV3_1,LV3,1,10,1,1.8,1.9,NA
2022-11-28,NA,LV3_1_11,LV3_1,LV3,1,11,1,1.8,1.6,NA
2022-11-28,NA,LV3_1_12,LV3_1,LV3,1,12,1,1.7,1.8,NA
2022-11-28,NA,LV3_1_13,LV3_1,LV3,1,13,1,2.2,2,NA
2022-11-28,NA,LV3_1_14,LV3_1,LV3,1,14,1,1.4,1.8,NA
2022-11-28,NA,LV3_2_1,LV3_2,LV3,2,1,1,1.5,0.7,NA
