parent.pop,elevation.group,elev_m,Lat,Long,timeframe,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month,Season
BH,low,511.4294422,37.40985,-119.96458,historic,1964,75.46,0,33.6025,6.661666666666667,22.506666666666668,14.584166666666667,15.845,7.338985511181591,35.519999999999996,403.23,116.51415480932876,10.1,25.314999999999998,0,8.93,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1965,68.605,0,52.29416666666666,7.135,22.26,14.6975,15.125,6.219818215700812,32.599999999999994,627.5300000000001,128.5925863690359,8.809999999999999,20.60333333333333,8.87,88.08,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1966,77.46833333333333,0,35.03916666666667,7.399166666666667,23.579166666666666,15.489166666666666,16.18,7.0484904358481195,36.17,420.47,172.1246153567976,11.53,21.5325,0,94.54,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1967,67.335,0,65.30333333333333,7.694999999999999,22.855833333333333,15.275416666666667,15.160833333333333,7.6499332909549365,36.06,783.6400000000001,109.14671051275174,8.004999999999999,26.985,0,149.34,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1968,79.725,0,33.920833333333334,7.494166666666667,23.6875,15.590833333333332,16.193333333333335,6.768992752159502,37.199999999999996,407.05,86.44562802851492,5.17,23.445,0,73.47,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1969,69.78166666666667,0,82.38666666666666,7.3975,22.285833333333333,14.841666666666667,14.888333333333334,7.339186025381256,35.43,988.64,120.87980067497978,6.75,25.5,0.02,136.7,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1970,73.83,0,42.2375,7.513333333333334,24.045,15.779166666666667,16.531666666666666,6.764581164664471,34.760000000000005,506.85,128.69999037211826,8.725,22.89375,0,77.86,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1971,72.62416666666667,0,37.48416666666666,6.9075,22.485833333333332,14.696666666666667,15.578333333333333,7.041807081260958,34.76,449.81,127.97790210272142,11.934999999999999,23.884999999999998,0,35.18,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1972,85.185,0,27.419166666666666,7.49,23.100833333333334,15.295416666666666,15.610833333333332,7.475701383431686,37.21,329.0300000000001,141.92130601574644,5.04,25.567500000000003,0,26.11,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1973,75.2775,0,61.5125,7.659166666666668,22.34,14.999583333333334,14.680833333333332,7.621915608157754,35.55,738.1499999999999,109.67278361230252,9.375,25.2,0,78.49,Water Year
BH,low,511.4294422,37.40985,-119.96458,historic,1974,69.45166666666667,0,52.22416666666667,7.956666666666666,23.255,15.605833333333333,15.298333333333334,7.178562097514988,33.76,626.6899999999999,95.79702048853878,10.495,22.13,16.96,91.58,Water Year
